instead,5
trade,5
hungry,5
learn,5
neck,5
chewed,5
sweet,5
jerk,5
loose,5
forty,5
rolled,5
turns,5
darkness,5
sharp,5
lashed,5
net,5
driving,5
black,5
either,5
yourself,5
longer,5
bonito,5
delicate,5
flesh,5
hung,5
also,5
afternoon,5
coiled,5
sudden,5
piece,5
galanos,5
four,5
tomorrow,5
drink,5
knees,5
hear,5
friend,5
belly,5
necessary,5
buy,5
sack,5
goes,5
nose,5
confidence,5
fishing,5
eighty-five,4
solid,4
righted,4
size,4
newspaper,4
besides,4
walked,4
live,4
room,4
taking,4
gained,4
struck,4
order,4
daylight,4
laid,4
plenty,4
tied,4
followed,4
butt,4
tension,4
swim,4
house,4
yesterday,4
shore,4
yet,4
colour,4
jerked,4
shadow,4
remembered,4
coast,4
means,4
chair,4
sword,4
twice,4
september,4
built,4
further,4
lurch,4
happen,4
mile,4
trying,4
hot,4
added,4
beach,4
showing,4
furled,4
planking,4
headed,4
stream,4
gunwale,4
turtle,4
dry,4
pressure,4
best,4
taut,4
beaten,4
free,4
yankees,4
ice,4
during,4
gills,4
filaments,4
itself,4
clubbed,4
ran,4
excellent,4
raw,4
phosphorescence,4
red,4
spring,4
leave,4
female,4
lavender,4
risen,4
sleeping,4
rice,4
sweat,4
age,4
years,4
shape,4
handle,4
confident,4
commenced,4
touch,4
jumping,4
stepped,4
broke,4
wanted,4
slow,4
broken,4
mother,4
dentuso,4
swinging,4
smelled,4
resting,4
war,4
suddenly,4
quickly,4
cast,4
catch,4
comfortable,4
shirt,4
opened,4
eaten,4
sad,4
didn,4
move,4
sat,4
front,4
stupid,4
blowing,4
lashing,4
food,4
carry,4
easily,4
lower,4
santiago,4
box,4
chance,4
eastward,4
hurricane,4
slipped,4
drank,4
north,4
noon,4
flat,4
hills,4
greatest,4
hail,4
wild,4
prepare,3
carcass,3
virgin,3
pick,3
gold,3
quiet,3
sets,3
ruined,3
throw,3
sunset,3
novel,3
prisms,3
young,3
hasn,3
understand,3
steered,3
schools,3
women,3
woman,3
walls,3
question,3
bought,3
thousand,3
tonight,3
everyone,3
less,3
became,3
quietly,3
killing,3
watch,3
surely,3
anymore,3
glare,3
chest,3
warm,3
dried,3
marys,3
golden,3
tiny,3
bright,3
clicking,3
choice,3
cramps,3
quick,3
fiction,3
keeps,3
someone,3
neither,3
jumps,3
pass,3
islands,3
putting,3
rubbed,3
brings,3
rigged,3
rather,3
worthy,3
rudder,3
blessed,3
overboard,3
bettors,3
usually,3
chop,3
towing,3
skin,3
eight,3
uncramp,3
able,3
use,3
fine,3
floated,3
sort,3
friends,3
leaning,3
softly,3
sheath,3
dangerous,3
wonderful,3
pieces,3
stiff,3
five,3
hunger,3
needed,3
themselves,3
money,3
whole,3
loss,3
leagues,3
among,3
pride,3
hoped,3
finger,3
spat,3
clearly,3
steal,3
paper,3
rush,3
horses,3
resolution,3
shaking,3
endure,3
cruel,3
shade,3
newspapers,3
hardly,3
sailing,3
rises,3
airplane,3
fished,3
shaft,3
forty-fathom,3
skinned,3
fathers,3
spear,3
speak,3
slip,3
movement,3
sardine,3
prayers,3
harder,3
taste,3
ship,3
decided,3
gentle,3
patches,3
patched,3
increased,3
backbone,3
poison,3
noticed,3
ask,3
shifted,3
run,3
cans,3
crying,3
rise,3
play,3
loosen,3
older,3
wet,3
happened,3
wrong,3
heads,3
stuff,3
simple,3
astern,3
wrapped,3
pectoral,3
market,3
outside,3
attention,3
gaining,3
brother,3
fillets,3
smoothly,3
drifted,3
fly,3
ford,3
won,3
pedrico,3
mountains,3
plankton,3
sit,3
thwart,3
six,3
chewing,3
corner,3
thinking,3
world,3
gripped,3
punishment,3
different,3
months,3
noble,3
dorsal,3
careful,3
tiring,3
raised,3
intelligent,3
sitting,3
stood,3
wiped,3
heel,3
stopped,3
manager,3
albacore,3
wished,3
changed,3
doing,3
butchered,3
beyond,3
rowing,3
teeth,3
wife,3
slanting,3
force,3
sell,3
depth,3
sound,3
sent,3
match,3
slowed,2
anchored,2
brooklyn,2
devise,2
eighty-seven,2
flight,2
hang,2
fearless,2
sargasso,2
feeding,2
j,2
destroyed,2
s,2
returned,2
sharply,2
empty,2
sand,2
tails,2
cleared,2
sank,2
iridescent,2
cheek,2
pocket,2
bleeding,2
considered,2
docks,2
flow,2
timid,2
phosphorescent,2
bringing,2
crazy,2
gut,2
save,2
smelling,2
mechanically,2
picture,2
names,2
tide,2
measuring,2
pray,2
pig,2
biggest,2
whether,2
coral,2
raise,2
west,2
spoon,2
jammed,2
snapped,2
unclear,2
manolin,2
floor,2
kicked,2
italian,2
cry,2
opening,2
pillow,2
pity,2
unleashed,2
drift,2
pack,2
thirty,2
sunrise,2
probably,2
dollars,2
weighed,2
hitting,2
prize,2
pot,2
worried,2
christ,2
replaced,2
thigh,2
shook,2
cramping,2
hat,2
given,2
glass,2
reflection,2
wash,2
cheerful,2
playing,2
asking,2
weapon,2
cumulus,2
ends,2
painful,2
supper,2
paid,2
palm,2
circles,2
baited,2
climb,2
pale,2
threw,2
mirrors,2
shrimps,2
circled,2
motionless,2
touching,2
solidly,2
friendly,2
shows,2
checked,2
flattened,2
raising,2
island,2
portuguese,2
wildly,2
park,2
mean,2
chew,2
hunting,2
past,2
milk,2
shiver,2
cienfuegos,2
chin,2
etching,2
possible,2
traps,2
inch,2
waiter,2
promise,2
galano,2
straw,2
month,2
carrying,2
waiting,2
papers,2
pound,2
company,2
sold,2
basket,2
jesus,2
mar,2
hawks,2
return,2
radio,2
pleasant,2
handsome,2
movements,2
nonsense,2
palms,2
waken,2
waking,2
patch,2
firm,2
height,2
sisler,2
myself,2
mutilated,2
mala,2
vomit,2
man-of-war,2
unless,2
fast-moving,2
cuts,2
middle,2
forced,2
loop,2
bare,2
please,2
finding,2
crushed,2
salted,2
rough,2
proper,2
stew,2
mary,2
indians,2
rapier,2
safety,2
worn,2
dressed,2
forefinger,2
knowing,2
convince,2
forehead,2
slave,2
fall,2
swallow,2
gutted,2
planks,2
voice,2
clubbing,2
shipped,2
cleaned,2
delicately,2
winter,2
tricks,2
year,2
desperate,2
poor,2
understanding,2
north-east,2
stop,2
least,2
jerking,2
dreaming,2
cirrus,2
nourishment,2
treachery,2
desperately,2
punched,2
noted,2
rig,2
deepest,2
agua,2
happily,2
spot,2
aid,2
city,2
defeat,2
bubble,2
filled,2
porpoises,2
slit,2
powerful,2
read,2
clock,2
tore,2
row,2
haven,2
decides,2
shank,2
pencil,2
minute,2
swirl,2
shift,2
jaw,2
shouldn,2
enemy,2
gray,2
ernest,2
cleveland,2
art,2
silly,2
livers,2
armed,2
knelt,2
north-west,2
rum,2
chopped,2
worry,2
imagine,2
worse,2
whatever,2
uncramped,2
color,2
shivered,2
turtle-ing,2
lived,2
thoughts,2
rack,2
hoisted,2
container,2
leader,2
yard,2
fought,2
dipping,2
poured,2
slice,2
plan,2
greater,2
lives,2
double,2
comfortably,2
matches,2
sticks,2
completely,2
bottles,2
slanted,2
beautifully,2
spurs,2
board,2
forearms,2
fed,2
cloud,2
looks,2
few,2
sung,2
bones,2
sugar,2
faith,2
died,2
rocks,2
guano,2
dies,2
noose,2
increase,2
gets,2
simply,2
fit,2
suffer,2
trailing,2
bat,2
soaked,2
afterwards,2
league,2
panic,2
plans,2
ay,2
prove,2
claws,2
joined,2
withdrew,2
lightness,2
scars,2
el,2
parts,2
oak,2
proprietor,2
spanish,2
steering,2
form,2
placed,2
bit,2
else,2
begin,2
become,2
blotches,2
banging,2
seemed,2
change,2
draw,2
hide,2
sign,2
weaving,2
level,2
author,2
backs,2
bracing,2
fighting,2
promised,2
straightened,2
hissing,2
tightened,2
scythe,2
urinated,2
disturb,2
detroit,2
lighter,2
closer,2
depths,2
attained,2
story,2
coil,2
va,2
suppose,2
thin,2
especially,2
sees,2
shaped,2
backing,2
normal,2
lovely,2
stone,2
pivoted,2
backed,2
reach,2
closing,2
rock,2
bigger,2
continued,2
lamps,2
own,2
dozen,2
cobre,2
blow,2
eighty-four,2
brisa,2
referees,2
week,2
paris,2
cat,2
alarm,2
village,2
factory,2
stories,2
fault,2
played,2
dignity,2
oment,1
spilling,1
slower,1
smacks,1
shrugged,1
begins,1
freshening,1
speedboat,1
windless,1
skillfully,1
backwards,1
poems,1
cove,1
rounded,1
bubbles,1
sideways,1
mistrusted,1
unhooked,1
slowing,1
talking,1
mastery,1
result,1
flecks,1
e,1
bumps,1
h,1
hatuey,1
towed,1
o,1
photograph,1
fifth,1
charcoal,1
yours,1
thy,1
deadly,1
juices,1
miami,1
skeleton,1
wise,1
myriad,1
tip,1
hueso,1
european,1
moisture,1
lack,1
clouding,1
soles,1
